"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","59.3900","202212","31","26,500","-","3","-","-","2000","영성중로 57","20230208","중개거래","인천 부평구","-"
"2","인천광역시 부평구 부평동","534-96","0534","0096","두산위브","59.7600","202212","31","35,000","-","12","-","-","2005","경원대로1344번길 8","-","중개거래","인천 부평구","-"
"3","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","59.8032","202212","31","39,700","-","16","-","-","2022","열우물로 90","-","중개거래","경기 부천시 인천 부평구","-"
"4","인천광역시 부평구 산곡동","294-35","0294","0035","우성3차(294-35)","72.9400","202212","31","29,500","-","2","-","-","1990","부영로 165","-","중개거래","인천 부평구","-"
"5","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","59.3900","202212","31","26,500","-","3","-","-","2000","영성중로 57","-","중개거래","인천 부평구","-"
"6","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","49.9600","202212","31","24,800","-","14","-","-","1996","길주남로 143","-","중개거래","인천 부평구","-"
"7","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9300","202212","31","26,200","-","14","-","-","1996","길주남로 144","-","중개거래","인천 부평구","-"
"8","인천광역시 부평구 삼산동","494","0494","0000","부평삼산엠코타운","84.9080","202212","31","45,000","-","14","-","-","2007","후정로 7","-","중개거래","인천 서구","-"
"9","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","84.0700","202212","31","52,500","-","12","-","-","2004","체육관로 57","-","중개거래","인천 부평구","-"
"10","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","59.8168","202212","31","40,000","-","10","-","-","2022","열우물로 90","-","중개거래","인천 부평구","-"
"11","인천광역시 부평구 청천동","453","0453","0000","청천우민늘푸른아파트","59.4568","202212","31","30,000","-","20","-","-","2020","평천로141번길 11","-","중개거래","경기 부천시","-"
"12","인천광역시 부평구 산곡동","251-2","0251","0002","우성5차","41.1300","202212","30","13,700","-","11","-","-","1996","부흥로111번길 36","-","중개거래","인천 부평구","-"
"13","인천광역시 부평구 갈산동","374","0374","0000","아주","84.7500","202212","30","37,800","-","12","-","-","1992","갈월서로 26","-","중개거래","인천 부평구","-"
"14","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9300","202212","30","25,000","-","8","-","-","1996","길주남로 144","-","중개거래","인천 부평구","-"
"15","인천광역시 부평구 부평동","494-2","0494","0002","아이앤비","59.9800","202212","30","16,900","-","8","-","-","2003","부일로 11","-","중개거래","인천 부평구","-"
"16","인천광역시 부평구 부평동","134-42","0134","0042","우일(102동)","37.8700","202212","30","17,200","-","6","-","-","2002","장제로 106","-","중개거래","인천 미추홀구","-"
"17","인천광역시 부평구 부평동","151-12","0151","0012","JH타워","49.9600","202212","29","18,300","-","2","-","-","2015","대정로 67","-","중개거래","인천 부평구","-"
"18","인천광역시 부평구 부평동","149-11","0149","0011","화신","30.8150","202212","29","6,000","-","2","-","-","2001","부평문화로115번길 17-9","-","직거래","-","-"
"19","인천광역시 부평구 부평동","440-3","0440","0003","청림주상복합","74.9100","202212","29","22,500","-","8","-","-","2009","부흥북로6번길 38","-","중개거래","인천 부평구","-"
"20","인천광역시 부평구 부평동","938","0938","0000","부평LH2단지","59.9800","202212","29","40,000","-","2","-","-","2012","동수로120번길 43","-","중개거래","인천 부평구","-"
"21","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","84.8200","202212","29","50,200","-","6","-","-","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
