"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-08-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","인천광역시 부평구 부평동","65-124","0065","0124","한국1","59.8020","202408","29","25,500","-","17","개인","개인","1998","부영로166번길 12","-","중개거래","인천 부평구","-"
"2","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202408","28","32,950","-","3","개인","개인","1999","원적로 361","20240829","중개거래","인천 부평구","-"
"3","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202408","28","32,950","-","3","개인","개인","1999","원적로 361","-","중개거래","인천 부평구","-"
"4","인천광역시 부평구 부평동","560-2","0560","0002","웰링턴","61.1700","202408","28","28,000","-","15","개인","개인","2019","대정로 93","-","중개거래","인천 부평구","-"
"5","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202408","28","16,000","-","15","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","-"
"6","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","59.9376","202408","28","39,000","-","15","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"7","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202408","28","48,000","-","13","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"8","인천광역시 부평구 십정동","607","0607","0000","동암신동아","59.8000","202408","28","25,800","-","14","개인","개인","2000","아트센터로 118","-","중개거래","인천 부평구","-"
"9","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202408","27","40,700","-","4","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"10","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","41.3000","202408","27","15,500","-","2","개인","개인","1992","굴포로 81","-","중개거래","인천 부평구","-"
"11","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9710","202408","26","61,500","-","13","개인","개인","2014","길주남로10번길 21","-","중개거래","인천 부평구","-"
"12","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","50.1550","202408","26","24,400","-","10","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"13","인천광역시 부평구 산곡동","264-1","0264","0001","뉴서울(264-1)","84.9600","202408","26","28,900","-","17","개인","개인","1991","부흥로123번길 36","-","중개거래","경기 부천시 소사구, 인천 부평구","-"
"14","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","59.4000","202408","25","23,000","-","16","개인","개인","1993","안남로 260","-","중개거래","인천 부평구","-"
"15","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","84.8900","202408","25","56,000","-","1","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"16","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","39.9900","202408","25","19,500","-","6","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"17","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","59.9600","202408","24","49,900","-","5","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구, 인천 연수구","-"
"18","인천광역시 부평구 삼산동","448-1","0448","0001","신성미소지움3단지","101.4800","202408","24","67,500","-","9","개인","개인","2005","수변로 334","-","중개거래","인천 부평구","-"
"19","인천광역시 부평구 갈산동","369","0369","0000","한국1,동아,팬더","84.3600","202408","24","34,200","-","7","개인","개인","1993","갈월동로 34","-","중개거래","경기 부천시 원미구, 인천 부평구","-"
"20","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","24","33,700","-","1","개인","개인","1996","부흥로 246","-","중개거래","인천 부평구","-"
"21","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","84.9500","202408","24","43,800","-","4","개인","개인","1999","원적로 361","-","중개거래","인천 부평구","-"
"22","인천광역시 부평구 산곡동","307","0307","0000","현대1차","84.6000","202408","24","39,000","-","11","개인","개인","1986","경원대로 1269","-","중개거래","인천 부평구","-"
"23","인천광역시 부평구 부평동","495-3","0495","0003","헤르메스아파트A동","49.7400","202408","24","25,000","-","13","개인","개인","2016","부일로 12","-","직거래","-","-"
"24","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","84.8900","202408","24","63,000","-","12","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"25","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202408","24","46,000","-","14","개인","개인","2005","굴포로 105","-","중개거래","서울 은평구, 인천 부평구","-"
"26","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","118.1342","202408","24","84,800","-","6","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"27","인천광역시 부평구 부개동","494-1","0494","0001","대동(494-1)","84.9400","202408","24","34,800","-","3","개인","개인","1991","부일로113번길 11","-","중개거래","인천 부평구","-"
"28","인천광역시 부평구 산곡동","294-35","0294","0035","우성3차(294-35)","135.5500","202408","24","52,700","-","7","개인","개인","1990","부영로 165","-","중개거래","인천 부평구","-"
"29","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","50.1550","202408","23","24,900","-","11","개인","개인","1989","부영로 196","-","중개거래","서울 관악구","-"
"30","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","49.9600","202408","23","25,200","-","9","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"31","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9700","202408","23","27,500","-","8","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"32","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","59.8430","202408","23","52,850","-","25","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","-"
"33","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","59.9300","202408","23","29,000","-","22","개인","개인","2005","이규보로 79","-","중개거래","인천 부평구","-"
"34","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","84.8700","202408","22","55,500","-","8","개인","개인","1986","부평문화로 37","-","중개거래","인천 부평구","-"
"35","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","59.9376","202408","22","37,000","-","7","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"36","인천광역시 부평구 부개동","499-2","0499","0002","푸른마을한신,삼부","134.8950","202408","22","62,000","-","4","개인","개인","1999","부개로 58","-","중개거래","인천 부평구","-"
"37","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","46.3100","202408","21","22,800","-","5","개인","개인","2005","이규보로61번길 21","-","중개거래","인천 부평구","-"
"38","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.0700","202408","20","68,500","-","15","개인","개인","2004","체육관로 27","-","중개거래","인천 부평구","-"
"39","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","59.3900","202408","20","27,700","-","1","개인","개인","2000","영성중로 57","-","중개거래","인천 부평구","-"
"40","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","76.3880","202408","20","28,000","-","1","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"41","인천광역시 부평구 일신동","410","0410","0000","일신주공아파트(100~112동)","59.9800","202408","20","22,000","108","7","개인","개인","1995","항동로75번길 11","-","중개거래","인천 부평구","24.08.23"
"42","인천광역시 부평구 일신동","409","0409","0000","풍림아파트(101동~110동)","84.9770","202408","20","36,000","-","13","개인","개인","1995","일신로14번길 23","-","중개거래","인천 부평구","-"
"43","인천광역시 부평구 부평동","70-78","0070","0078","창보","84.9800","202408","20","32,000","-","12","개인","개인","1999","부영로166번길 16","-","중개거래","인천 부평구","-"
"44","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","51.9980","202408","20","51,000","-","16","개인","개인","2023","동수천로 71","-","중개거래","인천 부평구","-"
"45","인천광역시 부평구 갈산동","179-1","0179","0001","한국","84.9900","202408","20","37,000","-","14","개인","개인","1998","부평대로278번길 42","-","중개거래","인천 부평구","-"
"46","인천광역시 부평구 일신동","409","0409","0000","풍림아파트(101동~110동)","84.9770","202408","19","35,000","-","24","개인","개인","1995","일신로14번길 23","-","중개거래","인천 부평구","-"
"47","인천광역시 부평구 부평동","415-7","0415","0007","SC제일행복해아파트","44.5500","202408","19","16,500","-","8","개인","개인","2016","주부토로 52","-","중개거래","인천 부평구","-"
"48","인천광역시 부평구 청천동","390-5","0390","0005","무지개","59.9200","202408","19","17,800","-","16","개인","개인","1993","부평북로 123","-","중개거래","인천 부평구","-"
"49","인천광역시 부평구 삼산동","550","0550","0000","부평삼산신원아침도시","74.1900","202408","19","50,000","-","17","개인","개인","2023","후정로 33","-","중개거래","인천 부평구","-"
"50","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.9600","202408","19","61,500","-","5","개인","개인","2004","체육관로 27","-","중개거래","인천 부평구","-"
"51","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","59.3900","202408","18","27,900","-","12","개인","개인","2000","부평북로 463","-","중개거래","인천 부평구","-"
"52","인천광역시 부평구 부개동","499-2","0499","0002","푸른마을한신,삼부","99.8600","202408","18","62,000","-","13","개인","개인","1999","부개로 58","-","중개거래","인천 부평구","-"
"53","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.5600","202408","17","28,700","306","16","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","24.08.19"
"54","인천광역시 부평구 부개동","494-1","0494","0001","대동(494-1)","84.9400","202408","17","35,500","-","8","개인","개인","1991","부일로113번길 11","-","중개거래","인천 부평구","-"
"55","인천광역시 부평구 산곡동","142-3","0142","0003","경남1차","84.4300","202408","17","32,500","-","12","개인","개인","1990","안남로222번길 27","-","중개거래","인천 부평구","-"
"56","인천광역시 부평구 산곡동","91-2","0091","0002","부평IPARK","69.1900","202408","17","59,800","-","15","개인","개인","2020","길주로364번길 9","-","중개거래","인천 부평구","-"
"57","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202408","17","48,500","-","7","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"58","인천광역시 부평구 부개동","494-1","0494","0001","대동(494-1)","84.9400","202408","17","35,500","-","8","개인","개인","1991","부일로113번길 11","20240821","중개거래","인천 부평구","-"
"59","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202408","17","39,700","-","1","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"60","인천광역시 부평구 부개동","499-2","0499","0002","푸른마을한신,삼부","99.8600","202408","17","60,000","-","10","개인","개인","1999","부개로 58","-","중개거래","인천 부평구","-"
"61","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9630","202408","17","68,000","-","24","개인","개인","2014","길주남로10번길 21","-","중개거래","인천 부평구","-"
"62","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","59.8050","202408","17","32,800","-","16","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"63","인천광역시 부평구 산곡동","307","0307","0000","현대1차","84.6000","202408","17","37,000","-","12","개인","개인","1986","경원대로 1269","-","중개거래","인천 부평구","-"
"64","인천광역시 부평구 청천동","377-9","0377","0009","인향","59.9570","202408","17","16,500","-","17","개인","개인","1994","청안로 8","-","중개거래","인천 부평구","-"
"65","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","84.9800","202408","16","53,500","-","12","개인","개인","2005","수변로 333","-","중개거래","인천 부평구","-"
"66","인천광역시 부평구 삼산동","494","0494","0000","부평삼산엠코타운","84.9080","202408","16","49,000","-","4","개인","개인","2007","후정로 7","-","중개거래","인천 부평구","-"
