"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"31","인천광역시 부평구 일신동","409","0409","0000","풍림아파트(101동~110동)","84.9770","202312","28","33,800","110","16","-","-","1995","일신로14번길 23","-","중개거래","인천 부평구","24.02.28"
"32","인천광역시 부평구 부평동","947","0947","0000","래미안부평","114.9920","202312","28","75,000","107","11","-","-","2014","길주남로10번길 21","-","중개거래","인천 부평구","24.01.29"
"33","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202312","27","28,500","-","5","-","-","1999","원적로 361","-","중개거래","인천 부평구","-"
"34","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.5600","202312","27","29,000","-","16","-","-","1996","길주남로 144","-","중개거래","인천 부평구","-"
"35","인천광역시 부평구 갈산동","159","0159","0000","대우","59.9300","202312","27","29,900","103","3","-","-","2001","평천로305번길 15","-","중개거래","인천 부평구","24.02.20"
"36","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.5600","202312","27","29,000","303","10","-","-","1996","길주남로 144","-","중개거래","인천 부평구","24.02.19"
"37","인천광역시 부평구 산곡동","255-1","0255","0001","뉴서울아파트","84.8100","202312","27","25,000","2","9","-","-","1991","마장로264번길 33","-","중개거래","인천 부평구","24.02.29"
"38","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","46.6800","202312","26","21,500","1","9","-","-","1989","충선로 191","-","중개거래","경기 부천시원미구, 인천 부평구","24.02.23"
"39","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202312","26","34,800","23","13","-","-","1996","부흥로 246","-","중개거래","서울 영등포구, 인천 부평구","24.02.27"
"40","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","44.9400","202312","26","18,800","108","10","-","-","1992","굴포로 81","-","중개거래","인천 부평구","24.02.16"
